Years Experience,Employed?,Previous employers,Level of Education,Top-tier school,Interned,Hired
20,Y,2,MS,Y,Y,N
15,N,8,BS,N,N,N
3,N,10,MS,Y,N,Y
25,N,3,PhD,N,N,N
12,N,5,BS,Y,Y,N
23,N,9,BS,N,Y,N
20,N,3,PhD,N,Y,N
13,Y,9,MS,N,Y,N
9,N,1,BS,N,Y,N
5,Y,2,MS,N,N,Y
4,Y,10,BS,N,N,N
8,N,10,PhD,Y,Y,Y
16,N,10,BS,Y,N,N
3,Y,5,MS,Y,Y,Y
3,Y,1,PhD,Y,N,Y
26,N,3,BS,N,N,N
13,N,4,BS,N,N,N
22,Y,5,BS,N,Y,N
3,N,10,MS,Y,Y,Y
5,Y,8,BS,Y,Y,N
27,Y,3,MS,N,N,N
24,Y,7,MS,N,Y,Y
6,N,9,BS,N,Y,N
15,N,5,PhD,N,N,Y
4,Y,9,PhD,Y,N,Y
14,N,0,PhD,N,N,Y
23,N,8,PhD,Y,N,Y
30,N,4,MS,Y,Y,Y
23,Y,5,MS,N,Y,Y
4,N,10,PhD,N,N,N
26,Y,10,PhD,N,N,N
1,Y,6,MS,Y,Y,N
30,Y,6,BS,Y,Y,N
7,N,10,PhD,N,N,Y
12,N,9,PhD,N,Y,N
8,N,5,PhD,N,Y,Y
8,N,10,PhD,Y,Y,Y
2,Y,0,PhD,N,Y,Y
20,N,7,MS,N,Y,N
1,N,0,PhD,Y,N,Y
8,N,4,BS,N,Y,N
26,Y,2,PhD,Y,N,Y
19,N,7,BS,N,Y,N
20,Y,1,MS,N,Y,N
14,Y,10,PhD,Y,Y,N
25,N,10,PhD,N,N,Y
15,Y,3,PhD,Y,N,Y
11,N,8,BS,Y,Y,N
17,N,2,MS,Y,Y,Y
19,N,3,MS,N,Y,Y
6,Y,8,PhD,Y,Y,Y
29,Y,3,PhD,N,Y,Y
11,N,9,PhD,N,Y,N
14,N,9,PhD,N,N,N
13,N,5,PhD,Y,N,N
25,Y,10,MS,Y,Y,Y
10,Y,0,BS,N,N,N
23,Y,0,MS,Y,Y,N
19,Y,2,PhD,Y,N,N
5,Y,3,PhD,Y,Y,Y
21,N,10,PhD,N,N,Y
12,Y,3,MS,N,Y,Y
12,N,7,MS,Y,N,N
26,Y,3,BS,N,Y,N
23,N,10,BS,N,Y,N
11,Y,10,PhD,N,Y,N
24,N,8,MS,Y,Y,N
25,Y,9,BS,N,N,N
0,Y,8,PhD,N,Y,N
20,Y,4,BS,Y,Y,N
0,N,4,MS,Y,N,N
16,Y,5,MS,N,N,N
15,Y,1,PhD,N,Y,N
1,N,7,MS,Y,N,N
9,Y,9,PhD,N,Y,N
26,Y,4,PhD,N,Y,Y
15,Y,6,BS,Y,N,N
28,Y,10,PhD,N,N,N
11,Y,1,PhD,Y,Y,N
9,N,1,BS,Y,N,N
8,N,4,PhD,N,N,N
13,Y,0,PhD,Y,N,Y
6,N,2,PhD,Y,N,Y
0,N,0,PhD,Y,N,Y
14,N,7,PhD,N,N,N
24,Y,1,MS,N,N,N
23,N,4,MS,N,N,Y
20,Y,6,MS,N,Y,N
5,Y,3,MS,Y,N,Y
21,Y,10,MS,Y,N,N
16,N,9,MS,N,N,Y
1,N,3,PhD,N,N,Y
1,N,3,MS,N,N,N
5,Y,1,MS,N,Y,Y
22,N,4,MS,Y,Y,Y
0,Y,8,MS,N,N,N
19,N,10,PhD,N,Y,Y
22,Y,0,PhD,N,Y,N
0,Y,5,MS,N,N,N
10,Y,7,BS,Y,N,N
4,Y,7,BS,Y,Y,N
4,Y,3,MS,N,Y,N
12,N,2,MS,Y,N,Y
7,N,3,MS,Y,N,N
15,N,9,MS,N,Y,N
7,N,4,PhD,N,N,Y
3,Y,6,MS,N,N,Y
23,N,5,BS,Y,N,N
19,Y,1,PhD,N,N,N
10,Y,9,PhD,N,N,Y
28,Y,10,MS,Y,Y,N
10,Y,1,BS,N,N,N
4,N,7,BS,Y,Y,N
18,N,2,PhD,N,N,N
26,Y,7,BS,N,N,N
7,Y,8,PhD,N,Y,N
18,N,5,BS,Y,N,N
14,Y,5,PhD,Y,Y,Y
11,N,8,BS,N,N,N
17,N,4,PhD,Y,Y,N
18,N,6,MS,N,Y,N
21,N,9,MS,N,N,Y
25,N,0,BS,N,Y,N
0,N,9,PhD,N,Y,Y
14,N,7,MS,N,Y,Y
13,N,2,PhD,N,Y,Y
16,N,6,BS,N,N,N
16,N,10,BS,N,Y,N
12,N,0,BS,N,N,N
28,Y,8,BS,Y,N,N
7,N,2,MS,N,Y,Y
6,Y,6,PhD,N,N,N
30,Y,10,BS,Y,Y,N
8,Y,6,PhD,Y,Y,N
12,N,3,MS,Y,Y,N
1,Y,3,PhD,Y,N,N
0,Y,10,MS,N,Y,N
23,Y,8,BS,Y,Y,N
5,Y,10,BS,N,Y,N
9,Y,2,PhD,N,N,N
9,Y,7,MS,Y,Y,Y
13,Y,5,BS,N,Y,N
2,N,1,MS,Y,N,N
21,N,7,PhD,Y,N,Y
2,Y,1,PhD,Y,Y,Y
18,N,9,PhD,Y,N,Y
1,Y,6,PhD,Y,Y,Y
0,N,2,PhD,N,Y,N
10,N,2,MS,Y,Y,N
6,N,1,PhD,N,Y,N
6,Y,7,BS,N,Y,N
10,Y,7,BS,N,Y,N
16,Y,5,MS,Y,Y,N
29,N,5,MS,N,N,Y
24,N,8,MS,N,Y,Y
